userName,content,score
Pengguna Google,Dengan adanya mobile JKN segalanya lebih mudah,5
Pengguna Google,bagus,5
Pengguna Google,bagus,5
Pengguna Google,"memang mempermudah tapi, untuk verivikasi nya susah soalnya saya gagal verivikasi berkali-kali dan nomor yang tercantum bukan nomor saya atau keluarga saya padahal sudah diisi sesuai dengan nomor telfon saya...",3
Pengguna Google,iuran murah fasilitas berobat bagus,5
Pengguna Google,bagus,5
Pengguna Google,sangat membantu,5
Pengguna Google,yg pasti penting dan berguna bgt sih skrg,5
Pengguna Google,"sekarang sistemnya sudah di permudah,,trimakadih jkn",5
Pengguna Google,gangguan terus aplikasinya,1
Pengguna Google,Apl yg Membantu Sekali 👍,5
Pengguna Google,memudahkan tuk pelayanan kesehatan,4
Pengguna Google,Sangat bermanfaat buat kami untuk hal kesehatan,5
Pengguna Google,cepat dan akurat,5
Pengguna Google,okay,5
Pengguna Google,sangat memuaskan,5
Pengguna Google,mantap,5
Pengguna Google,"file bekas vaksin 1&2 tidak ada, pelanan poli gigi tidak bisa",1
Pengguna Google,👍,5
Pengguna Google,awalnya agak sulit,5
Pengguna Google,top,5
Pengguna Google,"langsung cepat direspon,trims",5
Pengguna Google,lumayan membantu dan sangat mudah untuk ganti faskes,4
Pengguna Google,"aplikasi sering error dan menampilkan status offline, padahal kondisi sinyal bagus",1
Pengguna Google,Semoga lebih simple dan mudah digunakan,5
Pengguna Google,"tolong diperhatikan lagi, Jadi sering bug , Gabisa liat kode Booking, Gabisa di Screenshot pulak😌",4
Pengguna Google,Bagus,5
Pengguna Google,nyusahin orang aja. udh di depan pendaftaran malah ofline padahal ada kouta sinyal kenceng tapi apknya goblookk..,1
Pengguna Google,sangat baik,5
Pengguna Google,sangat bagus,5
Pengguna Google,sangat berguna👍,5
Pengguna Google,sangat membantu,5
Pengguna Google,bagus,5
Pengguna Google,baik,5
Pengguna Google,sangat membantu,5
Pengguna Google,masa berlaku surat rujuk 3 bulan baru 1x kunjungan surat rujuk langsung hilang di aplikasi lah terus apa gunanya ni aplikasi cuma ke faskes 1 doang,1
Pengguna Google,sangat bermanfaat,5
Pengguna Google,sangat terbantu,5
Pengguna Google,sangat membantu terima kasih,5
Pengguna Google,Aplikasi sering error,1
Pengguna Google,ga layak,1
Pengguna Google,parah offline mulu gimna sih mempersulit pasien untuk daftr cepT dan online,1
Pengguna Google,belum berobat tapi bayar iuran terus,5
Pengguna Google,"mau login lupa kata sandi , mau di reset minta kode OTP melalui sms tidak pernah masuk . kode OTP melalui sms tidak bisa kah ??",1
Pengguna Google,good,5
Pengguna Google,"paskes di klinik fakhira jakarta pusat, keterangan 24 tapi dokter nya Dateng jam 9 pagi",1
Pengguna Google,"lagi lagi aplikasi lu,kga bisa di screen wa daftar sehari sebelom jadi ilang datanya buat daftar faskes 1,jadi daftar lagi nomor urut gede",1
Pengguna Google,kenapa jadi gak bisa screenshot? biat gak bisa jadi bukti kalau banyak errornya ya? makin banyak perbaikan tapi makin banyak errornya.,3
Pengguna Google,tidak bisa login ....,2
Pengguna Google,mempermudah masalah BPJS kesehatan,5
Pengguna Google,membantu sekali,5
Pengguna Google,"selalu logout sendiri,",1
Pengguna Google,"bintang 2 dulu ya, karna gak bisa"" ambil nomor antrian online. katanya mempermudah tapi malah gak bisa"" entah apa penyebabnya",2
Pengguna Google,"pelayanan online bagus, walau harus menunggu beberapa hari dalam merubah status baik alamat maupun yg lain.. tapi proses cepat di layani .ok",5
Pengguna Google,tolong untuk screenshot diaplikasi diadakan lg... sekarang knp ga bisa di SS ?? JD MEMPERSULIT ORANG TUA YG GAPTEK ....sy mendaftarkan ibu sy pke aplikasi sy biasanya langsung bisa di SS ..ini ga bisa.. merepotkan,3
Pengguna Google,Baguslah semakin dipermudah dan tepat guna dalam berobat,5
Pengguna Google,mantul pokoe,5
Pengguna Google,"kenapa setelah 2 minggu tidak dipakai harus memasukkan nik dan password lagi, itu sangat menyusahkan bagi pengguna lansia dan yang lupa password, tolong kalau bisa terus login untuk menghemat waktu pendaftaran antrian",3
Pengguna Google,mempermudah urusan trimakasih,5
Pengguna Google,respon cepat pelayanan mantap,5
Pengguna Google,aneh ko tiba tiba gabisa log in,1
Pengguna Google,"Ubah alamat faskes, bisa dipakai baru sebulan ke depan 😔😔",3
Pengguna Google,kenapa setelah update malah g bisa login pdhal no induk dan pasword sudah benar.,1
Pengguna Google,"sangat buruk,daftar antrian online gak bisa",1
Pengguna Google,aplikasi sampah,1
Pengguna Google,sangat membantu,5
Pengguna Google,"kenapa sekarang tidak bisa daftar online ya difaskes 1, alasannya kuota penuh, padahal liat di web bpjs tidak ada pembatasan kuota.",2
Pengguna Google,kenapa ga bisa login setelah update.... malah nik selalu salah,5
Pengguna Google,maaf aku kasih bintang 1 karena peserta bpjs tidak muncul semua dalam aplikasi. eror mulu. aplikasinya jadi gak guna. jadi cuma buat pajangan doang di hp. 👎🏿👎🏿👎🏿👎🏿,1
Pengguna Google,cukup membantu sekali,5
Pengguna Google,"Tingkatkan performanya ya, Trimakasih JKN",5
Pengguna Google,Mudah dan praktis simple,5
Pengguna Google,ok,5
Pengguna Google,pertahankan,4
Pengguna Google,terimakasih sangat membantu,5
Pengguna Google,mantap,5
Pengguna Google,sangat memudahkan,5
Pengguna Google,mobile jkn the best solusi semua terselesaikan..sukses selalu.,5
Pengguna Google,keren,4
Pengguna Google,sangat membantu ko,5
Pengguna Google,sangat berguna sekali aplikasi ini terimakasih,5
Pengguna Google,alhamdulillah ada bpjs,5
Pengguna Google,"tidak jelas, semua di kartu keluarga aktif. tapi yang muncul cuma kepala keluarga. mau ngecek jadwal pemeriksaan pun kagak bisa, udah nyoba nyoba tetap gak bisa. haduuhh",1
Pengguna Google,bagus,5
Pengguna Google,tidak bisa login,2
Pengguna Google,Alhamdulillah terbantu dengan adanya mobile jkn,5
Pengguna Google,Apalah scan wajah gagal terus,1
Pengguna Google,"maaf tidak bisa login akun (padahal NIK & password sudah sesuai) 1. Sudah berulang hapus cache 2. Sudah berulang update aplikasi 3. Sudah berulang ""lupa password"" tapi tidak nerima balasan kode tertentu ke sms, kira2 solusi lain'a apa? thx",3
Pengguna Google,Aplikasi ini sangat membantu sekali,5
Pengguna Google,apk bagus banget,5
Pengguna Google,Aplikasinya Bagus & Membantu,5
Pengguna Google,cukup memuaskan aplikasi nya mudah di gunakan.. semoga ttp mudah dan sukses selalu,4
Pengguna Google,ok mantap,5
Pengguna Google,solusi untuk hp yg aflikasinya tidak mendukung apa? apa harus ganti hp,5
Pengguna Google,"tolong diperbaiki 1. berbicara dgn call center, lagi berbicara pihak call center bilang tidak ada suaranya, padahal suara call center terdengar jelas 2. terkait rujukan ke faskes selanjutnya, dari pihak rumah sakit yg dituju, ada tambahan persyaratan yg berbeda-beda, mempersulit berobat terimakasih",2
Pengguna Google,memudahkan penggunaan BPJS kesehatan,5
Pengguna Google,Good app's,5
Pengguna Google,"menghemat waktu,dan efisien",5
Pengguna Google,pelayanan sangat baik dan cepat juga memberikan kemudahan cukup dari rumah sja sudah bisa diproses,5
Pengguna Google,mudah untuk update skrining,5
Pengguna Google,lebih mudah dan praktis,5
Pengguna Google,bagus,5
Pengguna Google,ok,5
Pengguna Google,mantap,5
Pengguna Google,Penggunaan mudah,5
Pengguna Google,Sangat bagus dan pengunaannya mudah,5
Pengguna Google,terbaik,5
Pengguna Google,"mudah, dan kalau mau antrian tinggal online, jadi ga perlu ngantri lagi",5
Pengguna Google,lmyan membantu,5
Pengguna Google,nice,5
Pengguna Google,good,5
Pengguna Google,sangat mudah,5
Pengguna Google,sangat membantu,5
Pengguna Google,terbaik,5
Pengguna Google,"User friendly, mantal, sanvat membantu.",5
Pengguna Google,ok,5
Pengguna Google,"call center nya kurang bisa menangkap apa kendala yg diceritakan oleh pasien, dan kaga nyambung (soalnya kejadian berulang) ditanya apa jawab apa, perlu ditraining lg",1
Pengguna Google,bagus tapi disayangkan sisa antrian tidak update,3
Pengguna Google,"sangat membantu ,terimaksih",5
Pengguna Google,maaf kenapa aplikasinya sejak diperbaharui bulan Oktober ngga bisa dibuka yah langsung out gitu pdhal kuota sama wifi lancar mohon bantuannya🙏,3
Pengguna Google,"bapak saya gak bisa senyum, pernah struk, harus gitu verifikasi kudu senyum, gimana sih. terus harus gtu beda no HP, bapak udh sepuh, gak ngerti HP, no HP saya udh terdaftar dan gak bisa masukin no hp yg sama. ribet bener",1
Pengguna Google,"Semoga bisa membantu pengobatan sy dgn adanya kartu mobile JKN ,yg seorang single mom",5
Pengguna Google,sangat mempmudah Untuk melakukan pemeriksaan kesehatan,5
Pengguna Google,saat bagus,5
Pengguna Google,Bagus,5
Pengguna Google,registrasi susah banget. aplikasi macam apa ini. parah banget,1
Pengguna Google,sering logout sendiri,3
Pengguna Google,bagus dan membantu,5
Pengguna Google,sangat Bagus,5
Pengguna Google,sangat berguna,5
Pengguna Google,Bagu sangat membantu proses kepesertaan,5
Pengguna Google,oke,4
Pengguna Google,ok sip,5
Pengguna Google,membantu pasien,5
Pengguna Google,mudah dan sangat membantu,5
Pengguna Google,bagua,5
Pengguna Google,mantip,5
Pengguna Google,"sudah lumayan bagus, tapi masih bisa lebih dioptimalkan lagi. Jangan berhenti segini, terus kembangkan dan sempurnakan.",5
Pengguna Google,terimakasih mobile JKN sangat membantu 🙏🏻,5
Pengguna Google,app mantab,5
Pengguna Google,"sudah bagus, dan tingkatkan lagi utk lebih bagus",5
Pengguna Google,lancar dan mudah,5
Pengguna Google,"aplikasinya mudah di gunakan, fiturnya baik juga, semoga di barengi dengan real pelayan nya di dunia nyata nya😊🤲",5
Pengguna Google,bagus,4
Pengguna Google,Bagus dan cepat,5
Pengguna Google,"aplikasi apaan bikin susah. orang mau berobat dipersulit, login begini verifikasi begitu. perbaiki lah!!",1
Pengguna Google,memudahkan dalam pengaturan dan perubahan data tanpa antri,4
Pengguna Google,aplikasi yang bagus untuk memudahkan penyelesaian BPJS,4
Pengguna Google,karena erro ga jelas apk nya sering muncul permintaan belum di proses yang ini lah yang itu,2
Pengguna Google,"Tiba-tiba saja akun saya keluar dan pas coba log in lagi sudah tidak bisa, meski sudah diulang beberapa kali pun dengan data-data yg dimasukkan juga sudah benar tetap tidak bisa. Alasan NIK salah, password salah, captcha salah, begitu saja terus ""(",1
Pengguna Google,lebih mempercepat,5
Pengguna Google,Kk mau tanya kok di data jkn kepesertaan sebelum nya ada 2 orang tp pas sy cek lg yg muncul hanya 1 kak kenapa ya kak kira².,5
Pengguna Google,bagus,5
Pengguna Google,"aplikasi sangat membantu mempermudah,efisiensi waktu juga ga perlu ngantri dr jauh"" cukup daftar dpt langsung nomer pendaftaran",4
Pengguna Google,semoga semakin memudahkan teknologi nya,5
Pengguna Google,saya pun mengalami sama bahkan terkunci smua di buka susah daftr dn masuk pun dah di coba..PD ke kunci smua,3
Pengguna Google,sangat membantu,5
Pengguna Google,pelayanan nya semakin hari semakin baik trima kasih buat buat layanan kesehatan terutama di desa kami,5
Pengguna Google,MANTAPPP,5
Pengguna Google,sangat membantu,5
Pengguna Google,sangat membantu sekali,5
Pengguna Google,"lupa Pasword, pas Mau recreate malah katanya Nomor telpon dan email salah. padahal Ndak pernah Ganti nomor😞😞",1
Pengguna Google,Saat mau perpanjang rujukan dari klinik di kota Bandung dipindahkan Faskes I ke puskesmas Cibeureum Tasikmalaya saya kira Cibeureum Cimahi setelah cek JKN mobile ternyata Cibeureum Tasikmalaya secara otomatis sehingga petugas klinik tdk bisa membantu.tolong perbaiki Askesnya kasihan kan lansia yg harusnya tiap bulan berobat sdh 3bln tdk berobat,1
Pengguna Google,pelayanan nya sangat memuaskan,5
Pengguna Google,sesusah ini mau berobat dinegeri sendiri padahal ini juga kita kita yg bayar bukan pemerintah kecuali pbi.. mau masuk ajah harus pake autodebit.. lu gila apa gimana? mau curi uang rakyat lagi scr diam diam? bahaya bgt ini fitur autodebit,1
Pengguna Google,layanan terbaik,5
Pengguna Google,sangat membantu,5
Pengguna Google,ok,5
Pengguna Google,bagus,5
Pengguna Google,oke lah kalo begitu,5
Pengguna Google,untuk Developernya coba dong untuk pengisian skrining kesehatan di pisahkan aja jangan pas pengambilan antrian kita harus ngisi skrining dulu kelamaan min soalnya ga semua orang punya hp bagus jadi kadang pas mau isi skrining kesehatan ga muncul apa apa di hp saya ditungguin berapa jam juga ga muncul apa apa kalo ibu saya mau berobat gabisa ambil antrian.semoga dapat di mengerti makasih,4
Pengguna Google,mantap,5
Pengguna Google,sudah di update tidak bisa login,1
Pengguna Google,cukup bagus pelayanannya cepat sigap,4
Pengguna Google,good,5
Pengguna Google,"gabisa login jinx, update apasih klo msih gabisa login",1
Pengguna Google,sangat membantu,5
Pengguna Google,sangat sangat membantu...,5
Pengguna Google,Aplikasi yg Sangat bermanfaat utk kita lbih mudah Mengakses Pelayanan.,5
Pengguna Google,"apk sangat membantu, pelayanan faskes dan poli cepat",5
Pengguna Google,sangat membantu pendapataran dg mudah,5
Pengguna Google,"Aplikasi sampah....kalau ada bintang 0, saya kasih 0....apalagi CS nya",1
Pengguna Google,mantap,5
Pengguna Google,"Sangat membantu dalam proses penangan kasus , maaf umur saya 68 thn tak mungkin saya sebagai karyawan perusahaan maka sebagai masukan ,aplikasi baru ada koreksi untuk hal tsb 🙏🙏🙏 karena pembayaran BPJS di tanggung putri saya",5
Pengguna Google,sangat membantu,5
Pengguna Google,"udah bgs bgt apa apa pake jkn jd ga perlu antri manual,TAPI setiap login ga bisa padahal nik dan pswd sudah benar tolong dong ini gimana ,salah mulu padahal udah benerrrrr ,kalo keluar apk dan mau buka apk lg perlu login mulu kesel bgt gue ,dan pas login malah salah mulu bacaannya pdhl udh bnr",3
Pengguna Google,sangat baik sekali,5
Pengguna Google,aplikasi yg sangat memudahkan,5
Pengguna Google,sangat membantu🙏👍,4
Pengguna Google,ok,3
Pengguna Google,Mempersingkat waktu pendaftaran ! 👌👍,5
Pengguna Google,"SALDO JHT PT LAMA SAYA KEMANA ??? KOK ILANG ? KNPA CUMA SALDO JHT PT BARU SAYA YG TERDAFTAR ? SAYA INGAT AWAL JMO SAYA PUNYA 2 SALDO JHT. SEKARANG KNP CUMA SATU ? DAN SAYA BELUM CLAIM SALDO JHT PT LAMA SAYA. DASAR BPJS KORUP !! SARAN GW UTK YG PINDAH PT, MENDING KLAIM DULU PT YG LAMA BARU BUAT BARU. SEBELUM ILANG SALDO JHT PT LAMA KALIAN ! GK DA YG BERES !",1
Pengguna Google,sangat membantu,5
Pengguna Google,memudahkan jikala no kartu hilang,5
Pengguna Google,sangat mudah di gunakan dan sangat membantu sekali,5
Pengguna Google,JURDIL aja thanks,5
Pengguna Google,ok cepat,5
Pengguna Google,mantap 👍🙏,5
Pengguna Google,Bagus dan membantu sekali,5
Pengguna Google,bagus dan sangat membantu thanks pemerintah Ri,5
Pengguna Google,mantap,4
Pengguna Google,Bagus,5
Pengguna Google,"mudah digunakan, tidak banyak iklan, respon admin baik",5
Pengguna Google,pelayanannya memuaskan,5
Pengguna Google,"login nya kenapa gabisa, gak kyak biasanya",3
Pengguna Google,mempermudah masyarakat,5
Pengguna Google,"lama tak terpakai ke logout sendiri, sangat menyusahkan bagi orang yang pelupa. meminta kode Verifikasi pun lama sampai mengulang 10000x.sangat menjengkelkan.!!!!",1
Pengguna Google,sangat membantu,4
Pengguna Google,sangat mudah digunakan dimanapun dan kapanpun,5
Pengguna Google,memudahkan,5
Pengguna Google,good aplikasi,5
Pengguna Google,Sangat Baik dalam Pelayanan kesehatan,5
Pengguna Google,proses cepat dan ringkas,5
Pengguna Google,ok,5
Pengguna Google,lgi ngk bisa login,5
Pengguna Google,sangat terbantu sekali,5
Pengguna Google,proses nya cepat,5
Pengguna Google,mantapp,5
Pengguna Google,baikk,5
Pengguna Google,"sangat tidak berguna. verifikasi wajah sudah berkali-kali gagal teruss sampe sekarang belum bisa. mau nambah peserta pun tetap ga bisa, harus masukin nomor KK tapi tidak bisa di ketik. bukan nya mempermudah malah makin di persulit",1
Pengguna Google,sulit cari no antrean untuk paskes lanjutan padahal sudah ada rujukan dan surat kontrol . tidak ada fitur scan atau foto surat kontrol atau rujukan,1
Pengguna Google,"Sangat buruk, cs juga buruk.. Jaringan buruk",1
Pengguna Google,nice job,5
Pengguna Google,saya kasih bintang 2 dulu.. sekarang masuk jkn tiba2 keluar sendiri dari aplikasi jkn nya.. dan pas mau login lg harus dafta auto debit kalo gak daftar gak bisa login.. tp sayangnya pas mau daftar auto debil lewat rekening BCA selalu gak bisa terus.. tolong dong di benerin aplikasinya saya mau daftar auto debit lewat bank BCA gak bisa terus.. saya jd gak bisa login ke aplikasi jkn nya...,2
Pengguna Google,memudahkan pendaftaran ke rumah sakit,5
Pengguna Google,bagus lebih cepat kalau cari antri,5
Pengguna Google,awalnya dianggap login berbeda. Semua sudah normal dengan menghapus semua data aplikasi,3
Pengguna Google,bermanfaat,5
Pengguna Google,memudahkan sekali. terus pertahankan.,5
Pengguna Google,"kenapa sering log out setiap bulan, kenapa gak dibikin sekali masuk udah masuk aja trus jangan di log out otomatis",4
Pengguna Google,mudah digunakan,5
Pengguna Google,"sangat susah mau daftar antrian, loading terus, keterangannya offline, padahal sinyal bagus",1
Pengguna Google,mantaps,5
Pengguna Google,Aplikasi yang sangat membantu dalam proses pendaftaran baik di faskes pertama maupun ke poli yang ada di rumah sakit untuk jadwal berobat jalan . Terima kasih 🙏,5
Pengguna Google,Kasih kelad 1 dong,5
Pengguna Google,"ini mobile jkn kenapa ya, saya ga bisa login, kode verif sms juga sampai jenggot beruban nunggunya juga ga muncul"". mengecewakan.",1
Pengguna Google,sangatt puas,5
Pengguna Google,mantap istebest,5
Pengguna Google,bagus dan memuaskan,5
Pengguna Google,mantab,4
Pengguna Google,bagus membantu,5
Pengguna Google,mantap,5
Pengguna Google,"makin ke sni makin gk jelas aplikasi dri bulan kmrin smpai skrang gk bsa masuk, Indonesia makin parah, seharus pegawai di pecat sangat persulit masyarakat,",1
Pengguna Google,ok,4
Pengguna Google,bagus👍👍,5
Pengguna Google,ini knp yaa kemaren klo abis dari RS langsung otomatis perpanjang rujukan lah ini udah klinik daftar antrian tingkat lanjut gabisa diklik coba min gmn ini solusinya.. diperbarui bukannya tambah enak ko malah gini sihhh .. bintang 3 dulu yaa min,3
Pengguna Google,"saya mau kasih ulasan coba perbaiki bug update data nomor hp,saya memasukkan no hp yg udah pernah dipakai peserta notifnya,cuman saya mau input nomor yang lain masih ada bug gak bisa di input nomornya,tolong mobile jkn update lagi lah kalau bisaa kirim pesan verifikasi Lewat wa dan sms jadikan dua opsi,soalnya ini gak fleksibel jadi yg harus nya bisa cpet jadi lamaa.",5
Pengguna Google,"tolong lah kalau mau berobat dipermudahkan apalgi klo skit kambuh lgsg ditindaklanjuti mentang"" pkk BPJS diperlakukan seenaknya pasien, org kesakitan ke IGD rsu ktnya gk bsa hrs ke faskes 1 dlu, sblmnya org faskes 1 blg klo darurat pergi saja ke RS terdekat, klian para pejabat jan main"" kalau kerja kalian buruk gitu buat pelayanan BPJS gkkjelas,kpuskesmas hasilnya NIHIL di puskes apa jwbnnya? obatnya KOSONG dokter GAK ADA npain kalau begitu 24 jam hasilnya bikin pasien cepat MATI apa di gituin.",1
Pengguna Google,sangat puas,5
Pengguna Google,terimakasih sudah sangant membantu,5
Pengguna Google,Sangat Mudah di Pahami.. kereeeen,5
Pengguna Google,good,5
Pengguna Google,ok,4
Pengguna Google,ok,5
Pengguna Google,tambah baik dan super cepat pelayanannya,5
Pengguna Google,sangat membantu,5
Pengguna Google,"Daftar antrian pakai jkn mobile di klinik TIDAK BERGUNA, urutan antrian tidak sesuai aplikasi!",1
Pengguna Google,"knp sering kluar sendiri?? hrus daftar"" trusss",3
Pengguna Google,aplikasi apaaan daftar aja sulit sampe sekarang masih blm bisa daftar kalo berobat wajib jkn hadeehhh gini amat hidup di Indonesia,1
Pengguna Google,"akhir-akhir ini apk JKN makin tidak berfungsi,khusus saat mengambil antrian online,tolong di perbaiki",1
Pengguna Google,"mau masuk minta kode otp lewat sms udah lama banget nunggu sms ngga masuk². ternyata karena hpnya ngga ada pulsa, cuma ada kuota data. setelah isi pulsa, sms otpnya bisa masuk.",4
Pengguna Google,aplikasi paling tidak bermutu yg pernah saya temukan. untuk daftar saja rumit dan butuh waktu yg sangat lama,1
Pengguna Google,"Aplikasi nya bagus, tapi kadang (bukan kadang lagi. selalu) surat rujukan/surat kontrol yang saya punya pada faskes hilang. jadi kalau saya sudah daftar antrian online, dan sudah dapat antrian nya, pas hari h nya hilang waktu mau kontrol. jadi bingung pas kontrol nya antrian nya gimana, mana gak bisa di ss lagi. tolong lah solusinya gimana, gak bakal ubah rate kalau solusi belum nemu 😔",1
Pengguna Google,"ibah no HP option nya hanya sms saja dan gak mau2, kenapa gak pake wa saja",4
Pengguna Google,jangan sampe g bisa di update,5
Pengguna Google,sesuai harapan,5
Pengguna Google,untuk berobat pakai BPJS cepat prosesnya,5
Pengguna Google,aplikasinya oke.. semakin mudah digunakan,5
Pengguna Google,aplikasi in sangat membantu dlm berobat saat antrian banyak BS online,5
Pengguna Google,pelayanan bagus dan lancar,4
Pengguna Google,bagus banget,5
Pengguna Google,aplikasi macam apa ini Gak bisa masuk selalu salah padahal udah benar niat gak sih bikin aplikasi,1
Pengguna Google,jangan keluar sendiri akunnya dong,4
Pengguna Google,vertifikasi nya susah,1
